id,code,p_code,level,name
594,220221,220200,3,永吉县
595,220281,220200,3,蛟河市
596,220282,220200,3,桦甸市
597,220283,220200,3,舒兰市
598,220284,220200,3,磐石市
599,220300,220000,2,四平市
600,220302,220300,3,铁西区
601,220303,220300,3,铁东区
602,220322,220300,3,梨树县
603,220323,220300,3,伊通满族自治县
604,220382,220300,3,双辽市
605,220400,220000,2,辽源市
606,220402,220400,3,龙山区
607,220403,220400,3,西安区
608,220421,220400,3,东丰县
609,220422,220400,3,东辽县
610,220500,220000,2,通化市
611,220502,220500,3,东昌区
612,220503,220500,3,二道江区
613,220521,220500,3,通化县
614,220523,220500,3,辉南县
615,220524,220500,3,柳河县
616,220581,220500,3,梅河口市
617,220582,220500,3,集安市
618,220600,220000,2,白山市
619,220602,220600,3,浑江区
620,220605,220600,3,江源区
621,220621,220600,3,抚松县
622,220622,220600,3,靖宇县
623,220623,220600,3,长白朝鲜族自治县
624,220681,220600,3,临江市
625,220700,220000,2,松原市
626,220702,220700,3,宁江区
627,220721,220700,3,前郭尔罗斯蒙古族自治县
628,220722,220700,3,长岭县
629,220723,220700,3,乾安县
630,220781,220700,3,扶余市
631,220800,220000,2,白城市
632,220802,220800,3,洮北区
633,220821,220800,3,镇赉县
634,220822,220800,3,通榆县
635,220881,220800,3,洮南市
636,220882,220800,3,大安市
637,222400,220000,2,延边朝鲜族自治州
638,222401,222400,3,延吉市
639,222402,222400,3,图们市
640,222403,222400,3,敦化市
641,222404,222400,3,珲春市
642,222405,222400,3,龙井市
643,222406,222400,3,和龙市
644,222424,222400,3,汪清县
645,222426,222400,3,安图县
646,230000,NULL,1,黑龙江省
647,230100,230000,2,哈尔滨市
648,230102,230100,3,道里区
649,230103,230100,3,南岗区
650,230104,230100,3,道外区
651,230108,230100,3,平房区
652,230109,230100,3,松北区
653,230110,230100,3,香坊区
654,230111,230100,3,呼兰区
655,230112,230100,3,阿城区
656,230113,230100,3,双城区
657,230123,230100,3,依兰县
658,230124,230100,3,方正县
659,230125,230100,3,宾县
660,230126,230100,3,巴彦县
661,230127,230100,3,木兰县
662,230128,230100,3,通河县
663,230129,230100,3,延寿县
664,230183,230100,3,尚志市
665,230184,230100,3,五常市
666,230200,230000,2,齐齐哈尔市
667,230202,230200,3,龙沙区
668,230203,230200,3,建华区
669,230204,230200,3,铁锋区
670,230205,230200,3,昂昂溪区
671,230206,230200,3,富拉尔基区
672,230207,230200,3,碾子山区
673,230208,230200,3,梅里斯达斡尔族区
674,230221,230200,3,龙江县
675,230223,230200,3,依安县
676,230224,230200,3,泰来县
677,230225,230200,3,甘南县
678,230227,230200,3,富裕县
679,230229,230200,3,克山县
680,230230,230200,3,克东县
681,230231,230200,3,拜泉县
682,230281,230200,3,讷河市
683,230300,230000,2,鸡西市
684,230302,230300,3,鸡冠区
685,230303,230300,3,恒山区
686,230304,230300,3,滴道区
687,230305,230300,3,梨树区
688,230306,230300,3,城子河区
689,230307,230300,3,麻山区
690,230321,230300,3,鸡东县
691,230381,230300,3,虎林市
692,230382,230300,3,密山市
693,230400,230000,2,鹤岗市
694,230402,230400,3,向阳区
695,230403,230400,3,工农区
696,230404,230400,3,南山区
697,230405,230400,3,兴安区
698,230406,230400,3,东山区
699,230407,230400,3,兴山区
700,230421,230400,3,萝北县
701,230422,230400,3,绥滨县
702,230500,230000,2,双鸭山市
703,230502,230500,3,尖山区
704,230503,230500,3,岭东区
705,230505,230500,3,四方台区
706,230506,230500,3,宝山区
707,230521,230500,3,集贤县
708,230522,230500,3,友谊县
709,230523,230500,3,宝清县
710,230524,230500,3,饶河县
711,230600,230000,2,大庆市
712,230602,230600,3,萨尔图区
713,230603,230600,3,龙凤区
714,230604,230600,3,让胡路区
715,230605,230600,3,红岗区
716,230606,230600,3,大同区
717,230621,230600,3,肇州县
718,230622,230600,3,肇源县
719,230623,230600,3,林甸县
720,230624,230600,3,杜尔伯特蒙古族自治县
721,230700,230000,2,伊春市
722,230717,230700,3,伊美区
723,230718,230700,3,乌翠区
724,230719,230700,3,友好区
725,230722,230700,3,嘉荫县
726,230723,230700,3,汤旺县
727,230724,230700,3,丰林县
728,230725,230700,3,大箐山县
729,230726,230700,3,南岔县
